State,PC,protein (g),fat (g),carbohydrates (g),energy (kJ),energyKcal (kCal)
Andaman & Nicobar Island,Andaman & Nicobar Islands,65.8,55.8,367.0,9048.6,2267.5
Andhra Pradesh,Araku,53.1,43.3,367.2,8656.2,2105.1
Andhra Pradesh,Anakapalli,50.8,41.3,346.4,8175.5,1992.6
Andhra Pradesh,Srikakulam,57.2,42.5,408.5,9436.3,2282.5
Andhra Pradesh,Eluru,56.6,49.7,376.0,9039.7,2212.2
Andhra Pradesh,Rajahmundry,54.8,48.2,367.8,8810.5,2157.5
Andhra Pradesh,narsapuram,56.2,49.0,375.4,8995.7,2201.8
Andhra Pradesh,Amlapuram,54.1,47.8,363.8,8714.3,2134.6
Andhra Pradesh,narasaraopet,50.2,45.3,336.6,8056.8,1985.9
Andhra Pradesh,Machilipatnam,57.9,51.7,377.6,9159.6,2240.8
Andhra Pradesh,Guntur,50.2,45.3,336.7,8057.9,1986.1
Andhra Pradesh,Ongole,61.1,46.6,418.5,9836.3,2375.8
Andhra Pradesh,Bapatla,56.3,46.1,382.8,9061.3,2206.0
Andhra Pradesh,Kurnool,46.6,40.6,316.3,7614.9,1845.5
Andhra Pradesh,Vizianagaram,55.3,43.3,391.9,9147.9,2214.3
Andhra Pradesh,Kakinada,54.1,47.8,363.8,8714.3,2134.6
Andhra Pradesh,Rajampet,57.2,48.9,385.8,9183.6,2247.4
Andhra Pradesh,Nellore,61.0,47.6,414.0,9740.5,2366.2
Andhra Pradesh,Anantapur,59.6,46.2,408.6,9580.6,2325.8
Andhra Pradesh,Kadapa,56.5,48.3,382.8,9113.5,2227.4
Andhra Pradesh,nandyal,46.6,40.6,316.3,7614.9,1845.5
Andhra Pradesh,Chittoor,57.6,49.2,387.5,9220.7,2257.9
Andhra Pradesh,Tirupati,59.5,48.4,402.2,9507.2,2318.5
Andhra Pradesh,Hindupur,59.6,46.2,408.6,9580.6,2325.8
Andhra Pradesh,Vijayawada,57.9,51.7,377.6,9160.2,2240.9
Andhra Pradesh,Visakhapatnam,51.3,41.7,351.3,8287.6,2017.9
Arunanchal Pradesh,Arunachal West,46.2,18.8,348.6,7361.4,1781.7
Arunanchal Pradesh,Arunachal East,56.6,24.8,423.5,8985.2,2183.3
Assam,Lakhimpur,53.8,31.2,392.4,8617.5,2100.6
Assam,Dibrugarh,51.6,32.6,340.0,7712.7,1890.2
Assam,Jorhat,55.5,29.4,413.1,8956.4,2176.0
Assam,Tezpur,52.8,30.0,390.3,8572.0,2077.2
Assam,Kaliabor,55.2,26.1,409.5,8802.0,2130.9
Assam,Mangaldoi,52.8,30.4,394.0,8630.9,2095.5
Assam,nagaon,56.3,26.3,414.0,8916.4,2154.6
Assam,Autonomous District,44.5,24.8,353.2,7684.2,1845.6
Assam,Dhubri,49.0,28.5,367.3,8052.3,1953.7
Assam,Karimganj,44.3,22.5,355.9,7649.9,1834.7
Assam,Silchar,45.7,26.4,356.0,7802.6,1875.5
Assam,Kokrajhar,49.3,26.9,374.7,8097.7,1971.4
Assam,Guwahati,51.8,33.6,367.9,8244.3,2013.2
Assam,Barpeta,52.5,28.8,383.3,8379.2,2036.1
Bihar,Muzaffarpur,52.2,30.7,335.6,7702.8,1860.2
Bihar,Valmiki nagar,52.8,32.3,345.8,7973.9,1920.5
Bihar,Araria,55.9,34.6,370.4,8525.1,2052.6
Bihar,Gopalganj,54.6,33.7,352.0,8161.1,1965.3
