State,PC,lowbmi_women (%),lowbmi_men (%),overweight_women (%),overweight_men (%)
Andaman & Nicobar Island,Andaman & Nicobar Islands,12.8,8.5,30.7,38.5
Andhra Pradesh,Araku,21.0,15.1,27.3,28.8
Andhra Pradesh,Anakapalli,18.9,12.1,28.7,29.0
Andhra Pradesh,Srikakulam,20.5,15.2,24.4,18.9
Andhra Pradesh,Eluru,14.2,14.5,41.4,42.7
Andhra Pradesh,Rajahmundry,15.4,13.6,37.6,32.5
Andhra Pradesh,narsapuram,14.5,15.3,40.0,41.3
Andhra Pradesh,Amlapuram,15.9,12.8,36.4,28.0
Andhra Pradesh,narasaraopet,11.3,15.4,45.1,39.0
Andhra Pradesh,Machilipatnam,13.5,12.4,45.4,46.5
Andhra Pradesh,Guntur,11.3,15.3,45.0,38.9
Andhra Pradesh,Ongole,16.9,13.4,32.5,33.6
Andhra Pradesh,Bapatla,14.4,14.2,37.9,35.9
Andhra Pradesh,Kurnool,21.6,13.6,24.9,31.7
Andhra Pradesh,Vizianagaram,23.6,17.6,23.2,26.6
Andhra Pradesh,Kakinada,15.9,12.8,36.4,28.0
Andhra Pradesh,Rajampet,20.2,14.8,27.9,34.2
Andhra Pradesh,Nellore,16.9,16.9,34.6,32.2
Andhra Pradesh,Anantapur,20.2,20.2,26.5,28.8
Andhra Pradesh,Kadapa,18.7,11.3,27.0,40.8
Andhra Pradesh,nandyal,21.6,13.6,24.9,31.7
Andhra Pradesh,Chittoor,20.9,16.7,28.4,30.8
Andhra Pradesh,Tirupati,18.7,17.1,32.1,31.4
Andhra Pradesh,Hindupur,20.2,20.2,26.5,28.8
Andhra Pradesh,Vijayawada,13.5,12.4,45.5,46.6
Andhra Pradesh,Visakhapatnam,19.9,13.2,27.8,29.4
Arunanchal Pradesh,Arunachal West,8.3,7.9,15.6,20.4
Arunanchal Pradesh,Arunachal East,6.7,6.4,21.4,23.0
Assam,Lakhimpur,25.9,18.9,13.1,16.4
Assam,Dibrugarh,30.9,28.5,14.3,15.3
Assam,Jorhat,30.6,27.9,12.8,13.8
Assam,Tezpur,20.8,17.8,13.1,14.3
Assam,Kaliabor,27.7,24.2,14.3,10.5
Assam,Mangaldoi,22.1,17.7,11.7,9.1
Assam,nagaon,28.3,27.6,15.1,7.1
Assam,Autonomous District,17.1,11.5,13.9,11.2
Assam,Dhubri,28.3,14.0,10.1,15.2
Assam,Karimganj,31.3,21.9,9.3,10.0
Assam,Silchar,31.5,22.9,7.7,9.3
Assam,Kokrajhar,20.3,17.6,14.1,11.2
Assam,Guwahati,18.9,13.5,19.4,17.7
Assam,Barpeta,23.6,22.7,13.2,14.9
Bihar,Muzaffarpur,33.0,30.5,10.5,19.3
Bihar,Valmiki nagar,27.0,26.2,13.6,13.9
Bihar,Araria,38.3,39.0,6.2,6.2
Bihar,Gopalganj,25.7,24.3,16.1,22.2
Bihar,Siwan,24.2,17.4,17.0,15.3
Bihar,Vaishali,32.2,29.7,11.1,18.4
Bihar,Jhanjharpur,32.0,23.1,8.9,10.4
Bihar,Supaul,37.5,29.2,6.0,10.0
Bihar,Pashchim Champaran,28.0,25.4,11.6,12.1
Bihar,Madhubani,31.7,23.5,9.9,11.6
Bihar,Kishanganj,35.8,21.6,6.9,7.4
Bihar,Darbhanga,31.2,24.2,11.8,13.7
Bihar,Purnia,37.6,30.2,8.5,7.2
Bihar,Maharajganj,23.9,21.6,17.7,17.4
Bihar,Madhepura,33.6,28.6,8.0,9.2
Bihar,Begusarai,31.0,25.1,9.9,12.5
Bihar,Arrah,24.1,18.7,14.4,13.7
Bihar,Sasaram,27.6,27.5,14.6,12.2
Bihar,nawada,33.8,28.6,10.9,8.7
Bihar,Banka,30.8,25.4,7.4,12.5
Bihar,nalanda,30.7,25.2,10.2,10.6
Bihar,Katihar,32.4,21.9,8.0,6.3
Bihar,Samastipur,29.9,29.5,9.0,7.2
Bihar,Khagaria,31.6,24.1,9.6,10.5
Bihar,Pataliputra,24.0,17.6,19.5,15.8
