State,PC,sug_high_women (%),sug_vhigh_women (%),sug_high_men (%),sug_vhigh_men (%)
Andaman & Nicobar Island,Andaman & Nicobar Islands,8.8,4.8,16.3,9.3
Andhra Pradesh,Araku,7.1,4.3,10.5,6.7
Andhra Pradesh,Anakapalli,6.6,4.5,7.4,2.9
Andhra Pradesh,Srikakulam,8.3,3.5,12.4,5.0
Andhra Pradesh,Eluru,8.9,5.6,8.5,5.7
Andhra Pradesh,Rajahmundry,7.2,4.8,11.8,8.5
Andhra Pradesh,narsapuram,7.6,4.9,9.9,6.8
Andhra Pradesh,Amlapuram,7.1,4.8,12.9,9.4
Andhra Pradesh,narasaraopet,9.3,5.6,19.0,11.1
Andhra Pradesh,Machilipatnam,12.4,7.7,4.9,3.0
Andhra Pradesh,Guntur,9.2,5.5,18.9,11.0
Andhra Pradesh,Ongole,8.2,5.4,5.0,2.9
Andhra Pradesh,Bapatla,8.6,5.4,11.0,6.4
Andhra Pradesh,Kurnool,5.2,2.5,2.4,1.7
Andhra Pradesh,Vizianagaram,7.7,3.8,12.1,7.8
Andhra Pradesh,Kakinada,7.1,4.8,12.9,9.4
Andhra Pradesh,Rajampet,8.7,5.3,12.1,7.1
Andhra Pradesh,Nellore,9.3,5.6,6.1,3.0
Andhra Pradesh,Anantapur,6.9,3.7,8.9,5.1
Andhra Pradesh,Kadapa,8.4,4.6,18.2,11.8
Andhra Pradesh,nandyal,5.2,2.5,2.4,1.7
Andhra Pradesh,Chittoor,8.9,5.7,8.9,4.7
Andhra Pradesh,Tirupati,9.2,5.7,7.4,3.7
Andhra Pradesh,Hindupur,6.9,3.7,8.9,5.1
Andhra Pradesh,Vijayawada,12.5,7.8,4.9,3.0
Andhra Pradesh,Visakhapatnam,6.7,4.5,8.1,3.9
Arunanchal Pradesh,Arunachal West,5.6,1.9,9.5,4.0
Arunanchal Pradesh,Arunachal East,4.2,1.6,6.1,2.6
Assam,Lakhimpur,5.6,2.3,10.0,5.0
Assam,Dibrugarh,4.3,2.1,7.5,3.9
Assam,Jorhat,6.8,3.0,8.0,2.6
Assam,Tezpur,5.9,3.1,8.6,5.9
Assam,Kaliabor,6.7,3.0,10.0,4.3
Assam,Mangaldoi,4.5,1.9,6.8,3.7
Assam,nagaon,7.2,3.6,6.8,3.2
Assam,Autonomous District,4.4,1.8,8.0,3.2
Assam,Dhubri,3.3,1.2,3.9,2.0
Assam,Karimganj,4.8,2.3,3.9,2.1
Assam,Silchar,2.0,0.8,1.4,0.7
Assam,Kokrajhar,5.7,2.2,7.1,3.4
Assam,Guwahati,5.0,2.7,3.8,2.6
Assam,Barpeta,5.0,2.5,6.1,2.2
Bihar,Muzaffarpur,3.7,1.2,14.1,4.0
Bihar,Valmiki nagar,4.2,1.4,6.2,2.9
Bihar,Araria,4.2,1.5,6.7,1.8
Bihar,Gopalganj,5.9,2.7,3.1,2.1
Bihar,Siwan,4.7,2.1,10.1,5.5
Bihar,Vaishali,3.8,1.3,12.6,3.8
Bihar,Jhanjharpur,2.4,0.8,3.4,2.7
Bihar,Supaul,4.2,1.8,5.1,3.0
Bihar,Pashchim Champaran,5.1,2.3,8.8,4.2
Bihar,Madhubani,3.2,1.2,3.0,1.9
Bihar,Kishanganj,4.4,2.0,10.6,3.7
Bihar,Darbhanga,4.6,1.9,2.4,0.5
Bihar,Purnia,4.2,1.9,4.3,1.2
Bihar,Maharajganj,5.3,2.3,9.1,4.9
Bihar,Madhepura,4.2,1.3,4.8,2.4
Bihar,Begusarai,2.4,1.2,4.0,1.7
Bihar,Arrah,4.2,2.3,7.0,5.6
Bihar,Sasaram,5.6,2.3,5.5,3.0
Bihar,nawada,4.8,1.7,7.2,2.8
Bihar,Banka,3.8,1.6,6.7,3.9
Bihar,nalanda,2.9,1.1,4.0,3.3
Bihar,Katihar,5.2,2.8,5.3,1.8
Bihar,Samastipur,2.8,1.1,9.9,2.2
Bihar,Khagaria,3.1,1.4,5.4,2.4
Bihar,Pataliputra,3.9,1.9,6.5,3.6
Bihar,Buxar,4.5,2.1,5.1,3.0
Bihar,Patna Sahib,3.9,1.9,6.4,3.5
Bihar,Bhagalpur,3.8,1.0,3.0,1.9
Bihar,Munger,3.4,1.5,6.4,2.7
Bihar,Purba Champaran,5.7,3.0,10.7,5.1
Bihar,Sheohar,5.3,2.7,8.9,4.7
Bihar,Sitamarhi,4.3,2.1,6.7,4.6
Bihar,Ujiapur,2.7,1.1,10.7,2.7
Bihar,Hajipur,4.2,2.1,6.3,3.1
Bihar,Karakat,5.2,2.1,12.2,7.7
Bihar,Saran (Chhapra),5.6,2.5,8.7,4.7
Bihar,Jamui,3.1,1.4,4.8,2.4
Bihar,Aurangabad,4.6,2.1,10.4,6.4
Bihar,Gaya,4.0,2.3,5.1,3.1
Bihar,Jahanabad,4.5,1.9,6.2,2.3
Chandigarh,Chandigarh,5.6,2.5,6.9,4.2
Chhattisgarh,Janjgir-Champa,6.6,2.9,10.3,4.1
Chhattisgarh,Raipur,5.6,2.3,12.6,6.9
Chhattisgarh,Surguja,3.8,1.2,6.6,1.8
Chhattisgarh,Bilaspur,3.3,1.8,4.7,3.2
Chhattisgarh,Rajnandgaon,5.0,2.4,6.2,2.9
Chhattisgarh,Durg,8.1,3.9,11.7,5.8
Chhattisgarh,Mahasamund,5.8,2.5,12.5,7.0
Chhattisgarh,Raigarh,7.1,3.5,14.0,6.0
Chhattisgarh,Kanker,6.9,2.9,11.8,5.4
Chhattisgarh,Bastar,5.5,2.1,8.4,3.4
Chhattisgarh,Korba,5.1,2.6,7.0,3.6
Dadara & nagar Havelli,Dadra & nagar Haveli,4.9,2.2,8.5,6.5
Daman & Diu,Daman & Diu,5.3,2.1,8.7,5.5
Goa,South Goa,8.4,4.8,14.2,9.6
Goa,North Goa,9.3,5.5,10.7,5.4
Gujarat,Bardoli,5.8,2.5,10.9,4.7
Gujarat,Junagadh,5.1,1.8,9.4,3.4
Gujarat,Surat,5.7,2.8,11.9,4.7
Gujarat,Kheda,5.6,2.5,6.8,3.1
Gujarat,Ahmadabad (West),6.0,2.9,5.4,3.7
Gujarat,Jamnagar,6.0,3.5,5.8,3.3
Gujarat,Sabar Kantha,4.6,2.5,5.6,1.9
Gujarat,Banas Kantha,3.5,1.4,7.5,2.2
Gujarat,Patan,5.4,2.0,7.4,2.4
Gujarat,Panch Mahals,5.6,2.5,6.3,2.5
Gujarat,Dohad,7.0,2.3,2.2,1.6
Gujarat,Vadodara,6.5,3.3,6.5,2.9
Gujarat,Anand,5.5,1.8,8.6,4.5
Gujarat,Amreli,5.5,2.9,8.9,3.4
Gujarat,Ahmadabad (East),5.1,2.6,6.5,4.0
Gujarat,Rajkot,6.2,3.5,6.0,3.4
Gujarat,Surendranagar,5.5,2.5,5.0,2.7
Gujarat,navsari,6.1,2.6,13.9,7.0
Gujarat,Bharuch,7.4,3.9,6.7,2.7
Gujarat,Chhota Udaipur,6.1,2.9,6.8,2.8
Gujarat,Porbandar,5.6,2.5,7.4,3.4
Gujarat,Valsad,6.3,3.6,8.3,4.3
Gujarat,Gandhinagar,5.4,2.7,6.0,3.8
Gujarat,Mahesana,6.1,3.5,8.5,4.7
Gujarat,Bhavnagar,6.9,3.0,11.0,5.2
Gujarat,Kachchh,4.7,2.0,5.5,3.2
Haryana,Ambala,4.8,1.6,5.6,2.1
Haryana,Krukshetra,4.1,1.2,5.4,2.9
Haryana,Sirsa,3.9,1.3,2.7,1.6
Haryana,Karnal,6.0,3.0,8.7,2.5
Haryana,Sonipat,4.0,1.5,3.7,1.4
Haryana,Hisar,3.1,1.1,5.0,1.1
Haryana,Rohtak,5.0,1.6,6.3,1.8
Haryana,Bhiwani - Mahendragarh,3.6,1.3,4.4,1.5
Haryana,Gurgaon,5.9,1.6,8.4,2.2
Haryana,Faridabad,6.0,2.7,7.8,2.7
Himachal Pradesh,Hamirpur,7.0,3.9,6.7,2.9
Himachal Pradesh,Kangra,6.6,3.7,6.9,1.5
Himachal Pradesh,Shimla,6.3,2.7,7.6,3.1
Himachal Pradesh,Mandi,3.9,1.9,5.5,2.4
Jammu & Kashmir,Leh (Ladakh),1.9,1.0,2.3,0.7
Jammu & Kashmir,Jammu,6.1,2.9,8.2,3.9
Jammu & Kashmir,Srinagar,7.2,2.8,8.7,4.2
Jammu & Kashmir,Anantnag,6.5,2.6,4.6,2.1
Jammu & Kashmir,Baramula,4.5,1.5,5.0,1.3
Jammu & Kashmir,Udhampur,3.6,1.6,4.1,1.6
Jharkhand,Jamshedpur,5.1,2.5,7.9,4.4
Jharkhand,Singhbhum,5.2,2.5,12.7,6.1
Jharkhand,Rajmahal,3.9,1.6,6.5,3.3
Jharkhand,Dumka,5.5,1.9,8.8,3.4
Jharkhand,Godda,6.1,1.7,9.9,4.0
Jharkhand,Palamu,2.9,1.1,4.1,1.7
Jharkhand,Hazaribagh,4.4,2.0,9.1,4.4
Jharkhand,Dhanbad,5.9,3.0,8.2,2.4
Jharkhand,Kodarma,4.0,1.6,6.1,2.9
Jharkhand,Lohardaga,4.4,1.8,5.2,2.1
Jharkhand,Khunti,5.5,2.3,9.9,3.2
Jharkhand,Chatra,2.9,1.0,6.3,3.2
Jharkhand,Ranchi,6.4,2.7,5.6,3.3
Jharkhand,Giridih,5.5,2.6,7.7,2.3
Karnataka,Gulbarga,3.9,1.6,8.4,2.6
Karnataka,Bijapur,3.9,1.9,5.4,3.2
Karnataka,Chikkodi,6.0,2.1,9.0,3.5
Karnataka,Raichur,6.1,2.5,8.2,3.8
Karnataka,Koppal,5.3,1.9,8.6,4.8
Karnataka,Haveri,4.5,2.0,5.7,3.4
Karnataka,Davanagere,6.5,3.3,13.2,4.8
Karnataka,Chikkaballapura,6.9,3.7,6.6,3.8
Karnataka,Udupi Chikmagalur,6.8,3.4,9.6,4.9
Karnataka,Tumkur,6.6,3.8,8.8,2.8
Karnataka,Kolar,6.4,4.4,9.3,4.4
Karnataka,Bangalore Rural,6.9,3.6,7.8,3.3
Karnataka,Dharwad,8.1,4.2,8.2,3.2
Karnataka,Bangalore North,8.3,4.1,10.9,4.2
Karnataka,Dakshina Kannada,5.5,3.5,9.0,4.2
Karnataka,Mysore,6.3,3.3,7.2,4.4
Karnataka,Chamrajnagar,5.6,3.3,8.6,5.3
Karnataka,Mandya,7.1,4.4,6.5,2.3
Karnataka,Bellary,4.0,1.6,6.5,3.9
Karnataka,Chitradurga,5.5,2.4,7.6,2.5
